iter	RMSE
0	1671.047482
1	1625.80345
2	1584.219879
3	1544.623072
4	1507.983958
5	1474.637103
6	1444.970193
7	1416.241062
8	1389.573353
9	1368.208805
10	1345.105216
11	1323.649712
12	1303.495013
13	1286.233754
14	1272.113518
15	1257.216072
16	1243.069338
17	1229.83647
18	1217.927671
19	1206.664561
20	1196.709806
21	1187.524956
22	1178.820222
23	1170.924101
24	1163.569996
25	1156.655431
26	1150.642584
27	1144.953619
28	1139.696732
29	1134.803006
30	1131.175045
31	1127.216257
32	1123.214834
33	1119.926354
34	1116.890689
35	1114.32472
36	1112.290273
37	1109.922441
38	1107.523671
39	1105.31061
40	1103.149697
41	1101.366988
42	1099.385234
43	1097.695359
44	1096.526701
45	1095.203943
46	1094.052299
47	1092.771982
48	1091.831312
49	1090.751161
50	1089.855341
51	1088.926261
52	1088.039173
53	1087.083454
54	1086.280096
55	1085.369256
56	1084.813062
57	1084.281909
58	1083.579137
59	1083.172474
60	1082.590701
61	1081.949498
62	1081.446422
63	1080.778383
64	1080.377946
65	1079.958442
66	1079.406051
67	1078.823501
68	1078.409704
69	1077.78994
70	1077.263275
71	1076.846757
72	1076.471071
73	1075.86851
74	1075.428108
75	1074.580546
76	1074.161543
77	1073.563339
78	1073.310202
79	1073.043827
80	1072.593949
81	1072.276791
82	1071.881154
83	1071.380618
84	1070.841338
85	1070.599877
86	1070.296132
87	1069.684126
88	1069.310662
89	1068.85194
90	1068.649654
91	1068.325016
92	1068.051081
93	1067.610528
94	1067.234633
95	1066.77002
96	1066.333873
97	1066.069079
98	1065.851353
99	1065.182029
100	1064.63096
101	1064.565729
102	1064.347918
103	1064.147398
104	1063.66149
105	1063.428037
106	1063.002066
107	1062.959175
108	1062.83455
109	1062.521738
110	1061.950386
111	1061.689619
112	1061.592926
113	1061.175511
114	1060.83527
115	1060.826876
116	1060.707648
117	1060.344474
118	1060.170609
119	1059.951111
120	1059.32028
121	1058.907197
122	1058.766942
123	1058.766361
124	1058.610254
125	1058.147365
126	1057.729714
127	1057.364074
128	1056.968711
129	1056.728515
130	1056.359847
131	1056.008594
132	1055.560634
133	1055.08663
134	1054.722593
135	1054.6338
136	1054.48426
137	1053.801647
138	1053.67581
139	1053.444023
140	1053.039865
141	1052.624127
142	1052.319095
143	1051.790458
144	1051.155713
145	1050.823503
146	1050.554192
147	1050.326484
148	1050.078891
149	1049.96036
150	1049.444964
151	1049.084127
152	1048.755883
153	1048.555577
154	1048.031169
155	1047.848237
156	1047.489892
157	1047.134519
158	1046.778588
159	1046.459581
160	1046.265334
161	1046.048457
162	1045.659136
163	1045.16114
164	1044.925119
165	1044.550051
166	1044.220794
167	1043.839734
168	1043.482161
169	1043.334788
170	1043.110358
171	1042.801966
172	1042.450495
173	1042.243905
174	1041.734448
175	1041.383882
176	1040.890825
177	1040.605604
178	1040.353431
179	1040.167397
180	1039.718237
181	1039.580137
182	1039.116152
183	1038.828034
184	1038.557593
185	1038.203036
186	1037.922766
187	1037.711342
188	1037.436156
189	1037.053469
190	1036.742208
191	1036.375324
192	1036.094725
193	1035.67201
194	1035.511017
195	1034.949093
196	1034.607991
197	1034.257112
198	1033.919624
199	1033.679088
200	1033.436711
201	1032.898202
202	1032.478253
203	1031.992642
204	1031.749864
205	1031.283054
206	1030.764692
207	1030.366435
208	1030.026199
209	1029.633537
210	1029.292192
211	1029.010047
212	1028.784048
213	1028.32221
214	1028.021555
215	1027.527289
216	1027.102996
217	1026.728103
218	1026.51638
219	1026.202827
220	1025.741737
221	1025.503297
222	1025.113111
223	1024.760849
224	1024.485739
225	1024.103977
226	1023.893364
227	1023.476485
228	1023.191244
229	1022.865481
230	1022.394456
231	1022.005978
232	1021.659027
233	1021.341323
234	1020.909055
235	1020.423479
236	1020.135124
237	1019.907862
238	1019.761377
239	1019.318224
240	1019.06179
241	1018.859211
242	1018.569031
243	1018.068297
244	1017.669638
245	1017.293139
246	1016.908231
247	1016.660273
248	1016.361544
249	1015.976362
250	1015.680314
251	1015.343263
252	1015.051423
253	1014.81879
254	1014.316683
255	1014.009023
256	1013.628809
257	1013.305667
258	1013.060447
259	1012.767521
260	1012.454972
261	1012.320179
262	1011.907741
263	1011.655572
264	1011.255194
265	1011.134066
266	1010.711196
267	1010.506773
268	1010.333404
269	1009.906401
270	1009.6099
271	1009.309488
272	1009.00981
273	1008.768189
274	1008.37269
275	1008.030285
276	1007.756755
277	1007.303695
278	1006.94321
279	1006.725785
280	1006.252858
281	1006.073459
282	1005.919122
283	1005.530351
284	1005.332402
285	1005.153882
286	1004.708426
287	1004.509324
288	1004.198188
289	1003.782689
290	1003.54523
291	1003.3915
292	1003.152318
293	1002.938924
294	1002.488367
295	1002.049388
296	1001.803381
297	1001.439469
298	1001.192298
299	1000.826466
300	1000.526103
301	1000.200331
302	999.8704791
303	999.4209328
304	999.1522594
305	998.8268667
306	998.6230069
307	998.3658062
308	998.0169793
309	997.7015646
310	997.5002272
311	997.1208455
312	996.877725
313	996.6949266
314	996.4544291
315	996.1020202
316	995.6903812
317	995.5053792
318	995.3327467
319	995.1293827
320	994.9904011
321	994.7570858
322	994.4189167
323	994.1357229
324	993.8763016
325	993.4754683
326	993.2954803
327	992.918742
328	992.6828176
329	992.4941139
330	992.3267076
331	992.1405369
332	991.9691134
333	991.735429
334	991.6445716
335	991.5150441
336	991.1823233
337	991.0515035
338	990.6722481
339	990.5478565
340	990.476128
341	990.0982253
342	989.9808961
343	989.6658485
344	989.3458715
345	988.7911818
346	988.4908882
347	988.1823617
348	987.883969
349	987.5885227
350	987.5065271
351	987.214692
352	987.0034198
353	986.8168825
354	986.5895613
355	986.3669629
356	986.2429778
357	985.9267133
358	985.6918411
359	985.1836667
360	984.8595691
361	984.7442922
362	984.4942917
363	984.2653351
364	984.1921865
365	983.9847903
366	983.7168981
367	983.3814952
368	982.9562531
369	982.7719849
370	982.3804713
371	982.2228314
372	982.1155111
373	981.8948091
374	981.6210696
375	981.34217
376	981.1229238
377	980.9885732
378	980.8908137
379	980.7620059
380	980.5248116
381	980.2783549
382	980.003717
383	979.6752037
384	979.2066157
385	979.0336504
386	978.6546559
387	978.5900771
388	978.2785174
389	977.874425
390	977.4483945
391	977.1861879
392	976.9936663
393	976.8760393
394	976.7619627
395	976.6184555
396	976.4374757
397	976.3773731
398	975.9736416
399	975.7594751
400	975.5725797
401	975.4712776
402	975.2240136
403	975.0887674
404	974.9740951
405	974.8339361
406	974.6149415
407	974.5417942
408	974.2129731
409	973.9100478
410	973.7110835
411	973.3716106
412	973.2092221
413	973.1045092
414	972.6332437
415	972.4411276
416	972.2598835
417	972.0515411
418	971.8134848
419	971.4890821
420	971.0202833
421	970.7838865
422	970.5407773
423	970.3502231
424	970.1782407
425	969.8462281
426	969.5611433
427	969.3319813
428	968.8849343
429	968.7168819
430	968.5644531
431	968.2538168
432	967.9802186
433	967.6771443
434	967.4498297
435	967.3413575
436	967.16613
437	967.0771861
438	966.8816523
439	966.5954091
440	966.5117438
441	966.1840838
442	966.0675307
443	965.7528638
444	965.6377024
445	965.6017106
446	965.4130348
447	965.0016696
448	964.9106399
449	964.6040752
450	964.3252673
451	964.0450582
452	963.8618989
453	963.7050262
454	963.4232476
455	963.1045247
456	962.8920529
457	962.6097985
458	962.3877651
459	962.1951044
460	961.9835943
461	961.5570446
462	961.4430599
463	961.2545896
464	960.9838472
465	960.7480195
466	960.5484956
467	960.1188501
468	959.7954873
469	959.6982723
470	959.5436971
471	959.2676127
472	959.1455652
473	958.684412
474	958.3098173
475	958.0715446
476	957.8902453
477	957.7038874
478	957.4520604
479	957.1102015
480	957.0346027
481	956.8326542
482	956.6438757
483	956.3816276
484	956.0698542
485	955.8442247
486	955.5757378
487	955.3156618
488	955.0892047
489	954.8601533
490	954.5662141
491	954.2492009
492	953.9535004
493	953.685731
494	953.5941295
495	953.3054078
496	952.8343728
497	952.5490089
498	952.1445883
499	951.9697079
