iter	Passed	Remaining
0	171	85693
1	178	44551
2	187	31025
3	192	23871
4	197	19588
5	203	16744
6	207	14634
7	211	13030
8	215	11775
9	219	10747
10	223	9947
11	228	9298
12	233	8745
13	239	8322
14	244	7899
15	249	7547
16	254	7239
17	259	6951
18	263	6675
19	268	6433
20	272	6220
21	276	6012
22	282	5851
23	286	5686
24	292	5551
25	297	5418
26	301	5275
27	306	5164
28	312	5069
29	317	4966
30	322	4883
31	328	4807
32	333	4721
33	338	4638
34	345	4588
35	349	4508
36	354	4439
37	359	4371
38	364	4303
39	368	4232
40	372	4165
41	375	4098
42	379	4035
43	383	3976
44	387	3918
45	392	3870
46	396	3821
47	400	3775
48	405	3732
49	409	3687
50	413	3643
51	417	3600
52	422	3561
53	426	3522
54	430	3482
55	434	3443
56	438	3406
57	442	3373
58	446	3339
59	450	3304
60	454	3274
61	458	3242
62	462	3210
63	468	3191
64	472	3165
65	477	3140
66	482	3115
67	487	3094
68	492	3075
69	497	3054
70	501	3032
71	506	3009
72	510	2984
73	515	2965
74	518	2939
75	522	2915
76	526	2892
77	530	2872
78	534	2849
79	538	2828
80	542	2806
81	546	2786
82	550	2766
83	554	2746
84	559	2729
85	563	2714
86	567	2694
87	571	2675
88	575	2659
89	580	2644
90	585	2629
91	589	2613
92	593	2598
93	598	2585
94	602	2569
95	607	2555
96	611	2541
97	615	2525
98	619	2511
99	624	2497
100	627	2480
101	630	2459
102	634	2444
103	638	2430
104	642	2416
105	645	2400
106	649	2385
107	652	2368
108	656	2354
109	659	2339
110	663	2325
111	666	2309
112	670	2295
113	674	2282
114	677	2268
115	679	2249
116	683	2236
117	687	2225
118	690	2212
119	694	2199
120	698	2186
121	702	2175
122	706	2164
123	707	2146
124	711	2134
125	715	2123
126	719	2114
127	723	2102
128	727	2091
129	731	2080
130	735	2070
131	739	2060
132	742	2048
133	745	2037
134	750	2028
135	753	2017
136	757	2006
137	760	1995
138	764	1984
139	768	1976
140	772	1966
141	775	1955
142	780	1947
143	783	1938
144	787	1928
145	791	1919
146	795	1909
147	799	1900
148	802	1890
149	806	1880
150	809	1871
151	813	1862
152	817	1853
153	820	1844
154	824	1834
155	827	1825
156	831	1816
157	835	1807
158	838	1798
159	842	1789
160	846	1781
161	850	1773
162	853	1765
163	857	1756
164	861	1749
165	865	1742
166	871	1736
167	874	1728
168	878	1721
169	882	1713
170	886	1706
171	890	1698
